text_id,label,Comment,reference
1,Annals of Ulster,,Mac Airt and Mac Niocaill 1983
2,Vita Columbae,,"Anderson and Anderson 1961; Thes. II, 272–280"
3,Baile Chuinn,,Murray and Bhreathnach 2005
4,Disciples and Relatives of Columba,,"Anderson and Anderson 1961;Thes. II, 281"
5,Poems of Blathmac,,Barrett 2018; Carney 1964
6,Milan Glosses,,"Griffith and Stifter 2013a;Thes. I, 7–483"
7,St Gall Priscian,,"Bauer 2015a;Thes. II, 49–224"
8,Paris Priscian,,Bauer 2015a
9,Karlsruhe Priscian,,"Bauer 2015a;Thes. II, 225–230"
10,Leiden Priscian,,"Bauer 2015a;Thes. II, 231"
11,Milan Priscian,,"Bauer 2015a;Thes. II, 232"
12,Armagh Glosses Minor Glosses,,"Thes. I, 494–498; II, 45"
13,Berlin Augustine Minor Glosses,,"Stern 1910, 479-485"
14,Bern Glossae Divinae Historiae Minor Glosses,,"Thes. I, 2"
15,Bern Servius Minor Glosses,,"Thes. II, 235"
16,Dublin(I) Gospels Minor Glosses,,"Thes. II, 257"
17,Fulda Gospels Minor Glosses,,"Meyer 1912, 173-174"
18,Cambridge(Corpus) Canons Minor Glosses,,"Thes. II, 38"
19,Cambridge(Corpus) Glossary Minor Glosses,,"Lindsay 1921, 128"
20,Cambridge(UL) Juvencus Minor Glosses,,"McKee 2000;Thes. II, 44"
21,Karlsruhe Augustine Minor Glosses,,"Thes. II, 1–9"
22,Karlsruhe Bede Minor Glosses,,"Thes. II, 10–30"
23,Laon Cassiodorus Minor Glosses,,"Meyer 1912, 175–176"
24,Laon Isidore Minor Glosses,,"Lambert 1999, 189–195"
25,Laon Glossary Minor Glosses,,"Thes. II, Appendix IV"
26,Laon Augustine Minor Glosses,,"Stokes 1908, 269–270; Thes. II, Appendix V"
27,Florence Philargyrius Minor Glosses,,"Thes. II, 46–48"
28,Leiden Boethius Minor Glosses,,
29,London Gospels Minor Glosses,,"Thes. I, 484"
30,Milan Donatus Minor Glosses,,"Löfstedt 1982, 11"
31,Milan Sententia Sanctorum Doctorum Minor Glosses,,"Thes. II, 234"
32,Munich Paul Commentary Minor Glosses,,"Thurneysen 1940, 285–287"
33,Munich Donatus Minor Glosses,,"Thurneysen 1940, 288"
34,Munich Glossary Minor Glosses,,"Thes. II, 43"
35,Munich Luke Commentary Minor Glosses,,"Thurneysen 1940, 287"
36,Munich Sortilegia Minor Glosses,,"Thes. II, 236–237"
37,Nancy Computus Minor Glosses,,"Thes. II, 41"
38,Naples Malsachanus Minor Glosses,,"Thurneysen 1940, 280-281"
39,Paris Canons Minor Glosses,,"Thes. II, 38"
40,Paris Computus Minor Glosses,,Ó Cróinín 2001
41,Paris(I) Eutychius Minor Glosses,,"Thes. II, 42"
42,Paris(II) Eutychius Minor Glosses,,"Thes. II, 42"
43,Paris Glossae Divinae Historiae Minor Glosses,,Contreni and Ó Néill 1997
44,Paris Gregory Minor Glosses,,"Fleuriot 1968–1971, 569"
45,Karlsruhe Collectio Canonum Hibernensis Minor Glosses,,"Thurneysen 1940, 289"
46,Saint Omer Amos Minor Glosses,,Ó Cróinín 2001
47,Cambridge(John's) Psalter Minor Glosses,,"Thes. I, 4–6"
48,Dublin Psalter Minor Glosses,,"Thes. I, 6"
49,St Gall John Commentary Minor Glosses,,"Thurneysen 1940, 288"
50,Turin Mark Commentary Minor Glosses,,"Thes. I, 484–494"
51,Turin Liturgy Minor Glosses,,"Thes. II, 365"
52,Turin New Testament Minor Glosses,,"Thes. I, 484"
53,Turin Second Epistle of Peter Minor Glosses,,"Thes. I, 713–714"
54,Dublin(II) Gospels Minor Glosses,,Ó Néill 1998
55,Vatican Computus Minor Glosses,,"Thes. II, 39–41"
56,Vatican Glossae Divinae Historiae Minor Glosses,,"Thes. I, 1–2"
57,Vatican Psalter Commentary Minor Glosses,,"Thes. I, 3"
58,Vienna Bede Minor Glosses,,"Thes. II, 31–37"
59,Naples Eutychius Minor Glosses,,"Thes. II, 42"
60,Vienna Matthew Commentary Minor Glosses,,Ó Cróinín 2001
61,Würzburg Matthew Commentary Minor Glosses,,Ó Cróinín 2001
62,Muirchú Life of Patrick,,"Bieler 1979, 62–122; Thes. II, 258–261"
63,Tírechán Collectanea,,"Bieler 1979, 122–166; Thes. II, 261–269"
64,Armagh Additamenta,,"Bieler 1979, 166–178; Thes. II, 269–271"
65,Armargh Notulae,,"Bieler 1979, 180–182"
66,Armagh Liber Angeli,,"Bieler 1979, 184–190; Thes. II, 271"
67,Epistle of Jesus,,O'Keefe 1905; POMIC
68,Cáin Domnaig,,O'Keefe 1905;  POMIC
69,Antiphonary of Bangor,,"Warren 1895; Thes. II, XXXI"
70,Monastery of Tallaght,,Gwynn and Purton 1911–1912
71,Cologne(I) Bede Minor Glosses,,
72,Cologne(II) Bede Minor Glosses,,
73,Naples Charisius Minor Glosses,,
74,St Gall Prudentius Minor Glosses,,
75,Paris De Locis Sanctis Minor Glosses,,
76,Zurich De Locis Sanctis Minor Glosses,,
77,Einsiedeln Computus Minor Glosses,,
78,Bern Donatus Minor Glosses,,
79,Würzburg Glosses,,Kavanagh and Wodtko 2001
80,Würzburg Glosses prima manu,,Kavanagh and Wodtko 2001
81,Félire Óengusso,,Stokes 1905
82,Cambrai Homily,,"Thes. I, 244–247"